,0
66,kuvasz
108,tibetan_mastiff
56,irish_setter
49,golden_retriever
70,lhasa
80,norwegian_elkhound
76,miniature_poodle
75,miniature_pinscher
47,german_short-haired_pointer
5,appenzeller
87,pomeranian
83,otterhound
27,cardigan
34,curly-coated_retriever
15,bluetick
108,tibetan_mastiff
51,great_dane
57,irish_terrier
1,afghan_hound
64,kerry_blue_terrier
51,great_dane
79,norfolk_terrier
28,chesapeake_bay_retriever
45,french_bulldog
18,borzoi
0,affenpinscher
55,ibizan_hound
117,whippet
118,wire-haired_fox_terrier
118,wire-haired_fox_terrier
31,clumber
39,english_foxhound
114,weimaraner
74,mexican_hairless
77,miniature_schnauzer
39,english_foxhound
55,ibizan_hound
54,groenendael
91,rottweiler
23,briard
102,silky_terrier
76,miniature_poodle
82,old_english_sheepdog
42,entlebucher
76,miniature_poodle
64,kerry_blue_terrier
67,labrador_retriever
108,tibetan_mastiff
11,bernese_mountain_dog
84,papillon
118,wire-haired_fox_terrier
51,great_dane
81,norwich_terrier
56,irish_setter
28,chesapeake_bay_retriever
52,great_pyrenees
80,norwegian_elkhound
1,afghan_hound
8,basset
103,soft-coated_wheaten_terrier
56,irish_setter
78,newfoundland
103,soft-coated_wheaten_terrier
33,collie
61,japanese_spaniel
60,italian_greyhound
87,pomeranian
54,groenendael
37,dingo
18,borzoi
9,beagle
46,german_shepherd
65,komondor
62,keeshond
53,greater_swiss_mountain_dog
86,pembroke
1,afghan_hound
41,english_springer
22,brabancon_griffon
74,mexican_hairless
51,great_dane
45,french_bulldog
37,dingo
109,tibetan_terrier
108,tibetan_mastiff
44,flat-coated_retriever
114,weimaraner
113,walker_hound
70,lhasa
6,australian_terrier
52,great_pyrenees
76,miniature_poodle
97,scottish_deerhound
117,whippet
27,cardigan
119,yorkshire_terrier
91,rottweiler
91,rottweiler
13,blenheim_spaniel
58,irish_water_spaniel
118,wire-haired_fox_terrier
65,komondor
89,redbone
98,sealyham_terrier
107,sussex_spaniel
31,clumber
76,miniature_poodle
64,kerry_blue_terrier
103,soft-coated_wheaten_terrier
9,beagle
61,japanese_spaniel
7,basenji
3,airedale
62,keeshond
96,scotch_terrier
88,pug
13,blenheim_spaniel
26,cairn
5,appenzeller
27,cardigan
39,english_foxhound
101,siberian_husky
107,sussex_spaniel
22,brabancon_griffon
104,staffordshire_bullterrier
7,basenji
77,miniature_schnauzer
84,papillon
87,pomeranian
30,chow
114,weimaraner
100,shih-tzu
3,airedale
60,italian_greyhound
30,chow
28,chesapeake_bay_retriever
75,miniature_pinscher
96,scotch_terrier
57,irish_terrier
110,toy_poodle
105,standard_poodle
40,english_setter
84,papillon
72,malinois
